标题,类别,ACM Ref
Support Mechanisms to Conduct Empirical Studies in Software Engineering: A Systematic Mapping Study,Systematic Literature Reviews,"Alex Borges, Waldemar Ferreira, Emanoel Barreiros, Adauto Almeida, Liliane Fonseca, Eudis Teixeira, Diogo Silva, Aline Alencar, and Sergio Soares. 2015. Support mechanisms to conduct empirical studies in software engineering: a systematic mapping study. In Proceedings of the 19th International Conference on Evaluation and Assessment in Software Engineering (EASE '15). Association for Computing Machinery, New York, NY, USA, Article 22, 1–14. https://doi.org/10.1145/2745802.2745823"
Systematic Review Toolbox: A Catalogue of Tools to Support Systematic Reviews,Systematic Literature Reviews,"Christopher Marshall and Pearl Brereton. 2015. Systematic review toolbox: a catalogue of tools to support systematic reviews. In Proceedings of the 19th International Conference on Evaluation and Assessment in Software Engineering (EASE '15). Association for Computing Machinery, New York, NY, USA, Article 23, 1–6. https://doi.org/10.1145/2745802.2745824"
SESRA: A Web-Based Automated Tool to Support the Systematic Literature Review Process,Systematic Literature Reviews,"Jefferson Seide Molléri and Fabiane Barreto Vavassori Benitti. 2015. SESRA: a web-based automated tool to support the systematic literature review process. In Proceedings of the 19th International Conference on Evaluation and Assessment in Software Engineering (EASE '15). Association for Computing Machinery, New York, NY, USA, Article 24, 1–6. https://doi.org/10.1145/2745802.2745825"
On the Effects of Programming and Testing Skills on External Quality and Productivity in a Test-Driven Development Context,other/can not judge,"Davide Fucci, Burak Turhan, and Markku Oivo. 2015. On the effects of programming and testing skills on external quality and productivity in a test-driven development context. In Proceedings of the 19th International Conference on Evaluation and Assessment in Software Engineering (EASE '15). Association for Computing Machinery, New York, NY, USA, Article 25, 1–6. https://doi.org/10.1145/2745802.2745826"
Tools to Support Systematic Reviews in Software Engineering: A Cross-Domain Survey Using Semi-Structured Interviews,Surveys,"Christopher Marshall, Pearl Brereton, and Barbara Kitchenham. 2015. Tools to support systematic reviews in software engineering: a cross-domain survey using semi-structured interviews. In Proceedings of the 19th International Conference on Evaluation and Assessment in Software Engineering (EASE '15). Association for Computing Machinery, New York, NY, USA, Article 26, 1–6. https://doi.org/10.1145/2745802.2745827"
Analyzing Program Readability Based on WordNet,Action Research,"Yangchao Liu, Xiaobing Sun, and Yucong Duan. 2015. Analyzing program readability based on WordNet. In Proceedings of the 19th International Conference on Evaluation and Assessment in Software Engineering (EASE '15). Association for Computing Machinery, New York, NY, USA, Article 27, 1–2. https://doi.org/10.1145/2745802.2745837"
Understanding Differences in Process Perspectives between Developers and Acquirers in Off-the-Shelf-Based Custom Software Projects Undertaken in Indonesia,Surveys,"Dana Sulistiyo Kusumo and Ariadi Nugroho. 2015. Understanding differences in process perspectives between developers and acquirers in off-the-shelf-based custom software projects undertaken in Indonesia. In Proceedings of the 19th International Conference on Evaluation and Assessment in Software Engineering (EASE '15). Association for Computing Machinery, New York, NY, USA, Article 28, 1–6. https://doi.org/10.1145/2745802.2745828"
The Impact of Students' Skills and Experiences on Empirical Results: A Controlled Experiment with Undergraduate and Graduate Students,Controlled Experiments,"Marian Daun, Andrea Salmon, Thorsten Weyer, and Klaus Pohl. 2015. The impact of students' skills and experiences on empirical results: a controlled experiment with undergraduate and graduate students. In Proceedings of the 19th International Conference on Evaluation and Assessment in Software Engineering (EASE '15). Association for Computing Machinery, New York, NY, USA, Article 29, 1–6. https://doi.org/10.1145/2745802.2745829"
"Environment Modeling in Model-Based Testing: Concepts, Prospects and Research Challenges: A Systematic Literature Review",Systematic Literature Reviews,"Faezeh Siavashi and Dragos Truscan. 2015. Environment modeling in model-based testing: concepts, prospects and research challenges: a systematic literature review. In Proceedings of the 19th International Conference on Evaluation and Assessment in Software Engineering (EASE '15). Association for Computing Machinery, New York, NY, USA, Article 30, 1–6. https://doi.org/10.1145/2745802.2745830"
Identifying the Factors That Influence Task Allocation in Global Software Development: Preliminary Results,Systematic Literature Reviews,"Sajjad Mahmood, Sajid Anwer, Mahmood Niazi, Mohammad Alshayeb, and Ita Richardson. 2015. Identifying the factors that influence task allocation in global software development: preliminary results. In Proceedings of the 19th International Conference on Evaluation and Assessment in Software Engineering (EASE '15). Association for Computing Machinery, New York, NY, USA, Article 31, 1–6. https://doi.org/10.1145/2745802.2745831"
Using Blind Analysis for Software Engineering Experiments,Controlled Experiments,"Boyce Sigweni and Martin Shepperd. 2015. Using blind analysis for software engineering experiments. In Proceedings of the 19th International Conference on Evaluation and Assessment in Software Engineering (EASE '15). Association for Computing Machinery, New York, NY, USA, Article 32, 1–6. https://doi.org/10.1145/2745802.2745832"
Towards an Automation of the Traceability of Bugs from Development Logs: A Study Based on Open Source Software,Action Research,"Bilyaminu Auwal Romo and Andrea Capiluppi. 2015. Towards an automation of the traceability of bugs from development logs: a study based on open source software. In Proceedings of the 19th International Conference on Evaluation and Assessment in Software Engineering (EASE '15). Association for Computing Machinery, New York, NY, USA, Article 33, 1–6. https://doi.org/10.1145/2745802.2745833"
Customer Satisfaction Feedback in an IT Outsourcing Company: A Case Study on the Insigma Hengtian Company,Case Studies,"Xin Xia, David Lo, Jingfan Tang, and Shanping Li. 2015. Customer satisfaction feedback in an IT outsourcing company: a case study on the insigma Hengtian company. In Proceedings of the 19th International Conference on Evaluation and Assessment in Software Engineering (EASE '15). Association for Computing Machinery, New York, NY, USA, Article 34, 1–5. https://doi.org/10.1145/2745802.2745834"
