recordId,drugName,condition,date,usefulCount,sideEffects,rating
31908,Miconazole,Vaginal Yeast Infection,"July 23, 2015",5,No Side Effects,1
3350,Nitrofurantoin,Bladder Infection,"January 6, 2016",7,Mild Side Effects,5
226299,Etonogestrel,Birth Control,"August 28, 2015",7,Mild Side Effects,3
190325,Ortho Tri-Cyclen Lo,Birth Control,"December 23, 2013",7,Moderate Side Effects,5
146651,Tamsulosin,Benign Prostatic Hyperplasia,"August 7, 2011",104,No Side Effects,3
25240,Tofacitinib,Rheumatoid Arthritis,"December 20, 2013",75,Mild Side Effects,5
5357,Cryselle,Endometriosis,"February 2, 2014",14,Moderate Side Effects,4
13407,Amphetamine / dextroamphetamine,ADHD,"May 20, 2015",57,Severe Side Effects,1
46742,Clindamycin,Acne,"August 13, 2016",32,Mild Side Effects,4
11464,Pramipexole,Restless Legs Syndrome,"June 4, 2016",16,Mild Side Effects,1
124544,Skyla,Birth Control,"July 14, 2015",3,Severe Side Effects,5
229996,Lastacaft,"Conjunctivitis, Allergic","November 30, 2011",36,No Side Effects,1
131523,Effexor XR,Anxiety,"August 27, 2017",13,No Side Effects,1
209386,Nifedipine,Raynaud's Syndrome,"July 19, 2014",22,No Side Effects,1
229572,Lurasidone,Schizophrenia,"February 19, 2015",26,Moderate Side Effects,4
105440,Afrezza,"Diabetes, Type 1","February 12, 2015",125,Mild Side Effects,5
201582,Zoloft,Depression,"January 14, 2013",51,Mild Side Effects,1
158346,Ziprasidone,Schizophrenia,"April 20, 2008",33,Mild Side Effects,5
159659,Bactrim,Kidney Infections,"December 6, 2017",0,No Side Effects,1
15423,Ethinyl estradiol / norethindrone,Birth Control,"February 7, 2017",4,Moderate Side Effects,2
95748,Sertraline,Major Depressive Disorde,"November 2, 2014",88,No Side Effects,5
6971,Aluminum chloride hexahydrate,Hyperhidrosis,"November 5, 2015",5,Moderate Side Effects,4
131683,Effexor XR,Depression,"April 24, 2016",18,Mild Side Effects,1
188604,ParaGard,Birth Control,"January 29, 2016",4,No Side Effects,1
19559,Pregabalin,Generalized Anxiety Disorde,"July 31, 2013",228,No Side Effects,5
104580,Ethinyl estradiol / levonorgestrel,Birth Control,"July 16, 2011",4,No Side Effects,5
26989,Ultram,Pain,"February 24, 2012",36,No Side Effects,5
128575,Phentermine,Obesity,"June 7, 2015",5,Severe Side Effects,5
122089,Venlafaxine,Depression,"December 13, 2010",36,Mild Side Effects,4
191146,Campral,Alcohol Dependence,"November 12, 2009",80,No Side Effects,5
120889,Venlafaxine,Depression,"October 12, 2017",5,No Side Effects,1
167387,Levonorgestrel,Emergency Contraception,"March 20, 2016",14,No Side Effects,5
204427,BuSpar,Anxiety,"September 13, 2015",17,Moderate Side Effects,2
58200,Acetaminophen / hydrocodone,Pain,"October 20, 2008",21,Mild Side Effects,4
147575,Aviane,Birth Control,"January 11, 2011",9,Mild Side Effects,5
181913,Inderal,Migraine Prevention,"January 29, 2015",45,Mild Side Effects,5
177034,Promethazine,Nausea/Vomiting,"September 25, 2010",22,No Side Effects,5
213569,Tioconazole,Vaginal Yeast Infection,"September 13, 2017",0,Mild Side Effects,2
138243,Orthovisc,Osteoarthritis,"July 30, 2017",12,No Side Effects,1
107660,Implanon,Birth Control,"July 9, 2010",1,Extremely Severe Side Effects,3
34479,Marezine,Motion Sickness,"July 24, 2013",22,Moderate Side Effects,5
129438,Levonorgestrel,Birth Control,"August 26, 2015",1,Mild Side Effects,5
102941,Aripiprazole,Bipolar Disorde,"September 26, 2010",16,Moderate Side Effects,4
167908,Minoxidil,High Blood Pressure,"January 4, 2016",10,Moderate Side Effects,1
56193,Humira,Psoriatic Arthritis,"May 21, 2017",4,No Side Effects,5
159628,"Insulin inhalation, rapid acting","Diabetes, Type 1","May 13, 2015",9,No Side Effects,1
58280,Acetaminophen / hydrocodone,Pain,"April 16, 2008",15,Moderate Side Effects,5
38461,Phenazopyridine,Interstitial Cystitis,"July 12, 2013",34,Moderate Side Effects,5
128928,Levonorgestrel,Birth Control,"December 12, 2015",0,Moderate Side Effects,5
41991,Clonidine,ADHD,"April 30, 2011",159,Mild Side Effects,5
85618,Ethinyl estradiol / norgestimate,Birth Control,"July 20, 2014",35,Mild Side Effects,2
62652,Nicoderm CQ,Smoking Cessation,"February 24, 2017",14,Moderate Side Effects,5
129850,Levonorgestrel,Emergency Contraception,"April 27, 2015",9,Mild Side Effects,4
103401,Celecoxib,Osteoarthritis,"February 12, 2009",35,Severe Side Effects,1
45260,Fluoxetine,Major Depressive Disorde,"November 23, 2015",58,Mild Side Effects,5
222701,Topamax,Migraine Prevention,"September 14, 2015",31,No Side Effects,1
218886,Depakote,Bipolar Disorde,"January 22, 2012",22,Severe Side Effects,4
224062,Riboflavin,Migraine Prevention,"August 24, 2011",22,Moderate Side Effects,4
9723,Lo Loestrin Fe,Birth Control,"October 2, 2015",3,Mild Side Effects,1
215685,Copper,Birth Control,"April 11, 2017",6,Moderate Side Effects,3
188968,Drospirenone / estradiol,Postmenopausal Symptoms,"June 2, 2017",7,Severe Side Effects,5
224823,Bupropion,Depression,"January 13, 2017",15,No Side Effects,2
169168,Bacitracin / neomycin / polymyxin b,Bacterial Skin Infection,"April 30, 2017",0,Moderate Side Effects,5
138742,Phentermine,Weight Loss,"May 18, 2011",19,Severe Side Effects,5
81226,Yaz,Birth Control,"December 4, 2016",4,No Side Effects,1
215782,Copper,Birth Control,"November 17, 2016",24,Moderate Side Effects,5
219697,Amitriptyline,ibromyalgia,"November 30, 2017",0,Severe Side Effects,1
168177,Jolessa,Birth Control,"July 19, 2009",5,Moderate Side Effects,5
21821,Guaifenesin / pseudoephedrine,Cough and Nasal Congestion,"October 14, 2011",12,Mild Side Effects,5
189728,Oxycodone,Pain,"September 10, 2008",60,No Side Effects,5
108899,Nexplanon,Birth Control,"July 4, 2017",2,Mild Side Effects,2
224904,Bupropion,Depression,"September 4, 2016",11,Mild Side Effects,3
135063,Brisdelle,Hot Flashes,"January 30, 2016",15,No Side Effects,1
225258,Bupropion,Smoking Cessation,"October 7, 2015",11,Mild Side Effects,5
6760,Beyaz,Acne,"August 14, 2012",12,Severe Side Effects,5
9695,Lo Loestrin Fe,Birth Control,"September 10, 2015",10,Moderate Side Effects,5
44179,Ethinyl estradiol / norgestimate,Birth Control,"August 7, 2011",2,Mild Side Effects,3
65334,Yasmin,Acne,"February 8, 2016",21,Mild Side Effects,5
225793,Bupropion,ADHD,"June 15, 2011",224,Moderate Side Effects,5
201017,Zoloft,Depression,"June 28, 2017",14,No Side Effects,1
134836,Nucynta ER,Diabetic Peripheral Neuropathy,"July 22, 2016",14,No Side Effects,1
181313,Prozac,Major Depressive Disorde,"November 17, 2015",24,Moderate Side Effects,1
204311,BuSpar,Anxiety,"December 31, 2016",21,Moderate Side Effects,2
167965,Kariva,Birth Control,"November 17, 2009",4,No Side Effects,3
140925,Escitalopram,Depression,"December 21, 2015",63,No Side Effects,5
81808,Liraglutide,"Diabetes, Type 2","March 30, 2017",26,No Side Effects,5
223540,Sutent,Renal Cell Carcinoma,"December 23, 2010",80,Moderate Side Effects,5
15168,Ethinyl estradiol / norethindrone,Birth Control,"May 18, 2017",6,Extremely Severe Side Effects,4
72043,Tramadol,Pain,"June 2, 2015",18,Severe Side Effects,1
53685,Tylenol with Codeine #3,Pain,"April 18, 2017",2,No Side Effects,1
204466,BuSpar,Panic Disorde,"October 26, 2014",84,No Side Effects,5
70808,Magnesium citrate,Constipation,"February 17, 2017",16,Mild Side Effects,5
214538,Tioconazole,Vaginal Yeast Infection,"April 11, 2015",22,Mild Side Effects,5
230576,Depo-Provera,Birth Control,"April 15, 2011",2,Severe Side Effects,3
187095,Safyral,Birth Control,"July 12, 2015",2,Severe Side Effects,3
165665,Levonorgestrel,Emergency Contraception,"April 20, 2017",2,Mild Side Effects,5
131772,Effexor XR,Depression,"December 24, 2015",28,No Side Effects,5
176098,Desyrel,Insomnia,"February 7, 2012",26,No Side Effects,3
103111,Glyburide,"Diabetes, Type 2","July 10, 2013",11,Mild Side Effects,5
214584,Escitalopram,Generalized Anxiety Disorde,"November 25, 2017",6,Moderate Side Effects,5
58995,Aldesleukin,Renal Cell Carcinoma,"September 13, 2010",13,No Side Effects,5
201473,Zoloft,Social Anxiety Disorde,"February 24, 2015",47,Moderate Side Effects,4
186353,Desvenlafaxine,Depression,"January 15, 2012",7,No Side Effects,2
192633,Drospirenone / ethinyl estradiol,Birth Control,"January 17, 2012",7,Moderate Side Effects,2
165109,Phentermine / topiramate,Obesity,"May 29, 2014",48,Moderate Side Effects,5
205428,Pristiq,Major Depressive Disorde,"April 9, 2015",11,Severe Side Effects,2
229587,Lurasidone,Bipolar Disorde,"July 5, 2015",0,Severe Side Effects,3
31465,Miconazole,Vaginal Yeast Infection,"April 21, 2016",3,Severe Side Effects,2
136044,Acamprosate,Alcohol Dependence,"October 25, 2010",62,No Side Effects,5
10545,Spironolactone,Acne,"January 12, 2015",82,Severe Side Effects,5
180154,Doxylamine / pyridoxine,Nausea/Vomiting of Pregnancy,"January 18, 2017",6,Mild Side Effects,2
53409,Demerol,Pain,"September 15, 2009",32,Mild Side Effects,5
37326,Vyvanse,Binge Eating Disorde,"October 15, 2015",18,Severe Side Effects,4
230601,Depo-Provera,Birth Control,"September 5, 2011",3,No Side Effects,5
5486,Sovaldi,Hepatitis C,"January 11, 2016",9,Moderate Side Effects,5
64109,Sertraline,Depression,"April 28, 2017",12,Moderate Side Effects,2
70424,Motrin IB,Back Pain,"June 10, 2009",20,No Side Effects,5
66458,Valacyclovir,Cold Sores,"November 12, 2011",7,No Side Effects,5
14420,Buprenorphine / naloxone,Opiate Dependence,"August 7, 2010",16,Moderate Side Effects,5
198057,Metoprolol,Heart Attack,"May 23, 2011",14,Mild Side Effects,3
205505,Pristiq,Depression,"November 10, 2013",81,Severe Side Effects,4
120460,Montelukast,Asthma,"September 3, 2009",7,Mild Side Effects,5
221339,Dextromethorphan,Cough,"October 25, 2016",10,No Side Effects,1
171255,Levitra,Erectile Dysfunction,"September 14, 2017",2,No Side Effects,2
195055,Restoril,Insomnia,"June 6, 2015",23,Mild Side Effects,1
75416,Azathioprine,Autoimmune Hepatitis,"March 14, 2016",10,Mild Side Effects,5
179764,Adapalene / benzoyl peroxide,Acne,"January 12, 2016",1,Moderate Side Effects,1
210167,Linzess,"Constipation, Chronic","February 24, 2017",25,Mild Side Effects,5
194809,Levetiracetam,Seizures,"December 7, 2016",28,Mild Side Effects,5
221626,Ziana,Acne,"April 24, 2012",30,Mild Side Effects,5
145956,Suboxone,Opiate Dependence,"May 29, 2017",19,Severe Side Effects,3
110030,Nexplanon,Birth Control,"May 5, 2016",2,Mild Side Effects,5
135690,Tinidazole,Bacterial Vaginitis,"August 31, 2014",12,Moderate Side Effects,3
115272,Diazepam,Not Listed / Othe,"April 2, 2009",9,Moderate Side Effects,5
10485,Spironolactone,Acne,"April 17, 2016",7,Mild Side Effects,5
170238,Quetiapine,Bipolar Disorde,"August 17, 2016",23,Extremely Severe Side Effects,5
113665,Acetaminophen / butalbital / caffeine,Headache,"January 12, 2009",30,No Side Effects,5
14924,Ethinyl estradiol / norethindrone,Birth Control,"September 11, 2017",2,No Side Effects,3
223117,Estradiol,Postmenopausal Symptoms,"February 20, 2016",11,Severe Side Effects,5
106073,Gabapentin,ibromyalgia,"May 17, 2016",43,No Side Effects,5
188723,ParaGard,Birth Control,"June 24, 2015",7,No Side Effects,5
115374,Propofol,Anesthesia,"April 16, 2016",9,Mild Side Effects,5
199475,Depo-Provera,Birth Control,"March 6, 2015",1,Mild Side Effects,5
66036,Propranolol,mance Anxiety,"October 23, 2014",59,Mild Side Effects,5
179979,Adapalene / benzoyl peroxide,Acne,"March 12, 2014",27,Severe Side Effects,5
16674,Yaz,Menstrual Disorders,"October 1, 2009",8,Moderate Side Effects,4
35120,Levofloxacin,Pneumonia,"May 27, 2016",4,No Side Effects,1
169001,Vilazodone,Depression,"June 22, 2012",25,No Side Effects,5
157670,Accutane,Acne,"May 11, 2016",28,Mild Side Effects,5
225775,Bupropion,Depression,"August 5, 2012",41,Severe Side Effects,5
68412,Nalbuphine,Pain,"May 19, 2016",1,Mild Side Effects,4
28898,Lexapro,Depression,"July 14, 2009",13,Moderate Side Effects,5
170146,Quetiapine,Generalized Anxiety Disorde,"April 10, 2017",25,Moderate Side Effects,5
57137,MiraLax,"Constipation, Acute","June 13, 2011",142,Mild Side Effects,5
173112,Clonazepam,Anxiety,"August 16, 2011",31,Moderate Side Effects,5
224041,Phenobarbital,Seizures,"December 2, 2016",5,Moderate Side Effects,5
166983,Levonorgestrel,Birth Control,"June 25, 2016",3,No Side Effects,5
1103,Metronidazole,Rosacea,"February 29, 2012",110,Severe Side Effects,5
72195,Tramadol,Chronic Pain,"May 31, 2014",20,Mild Side Effects,5
197824,Metoprolol,Benign Essential Trem,"February 19, 2017",4,Moderate Side Effects,5
36268,Imiquimod,Human Papilloma Virus,"November 2, 2015",12,Mild Side Effects,4
206605,Caffeine,Hypersomnia,"April 15, 2012",28,Severe Side Effects,4
165916,Levonorgestrel,Birth Control,"March 5, 2017",7,Mild Side Effects,5
227136,Etonogestrel,Birth Control,"May 24, 2014",29,Mild Side Effects,4
32246,Lisinopril,Diabetic Kidney Disease,"July 7, 2017",3,Severe Side Effects,1
80198,Benzonatate,Cough,"September 30, 2009",21,Moderate Side Effects,5
115012,Diazepam,Meniere's Disease,"November 14, 2015",52,No Side Effects,5
159489,Ayr Saline Nasal,Nasal Congestion,"September 11, 2016",1,Moderate Side Effects,2
121298,Venlafaxine,Depression,"June 15, 2016",24,Extremely Severe Side Effects,1
217603,Clarithromycin,Pneumonia,"February 26, 2011",20,Moderate Side Effects,5
137706,Enbrel,Psoriatic Arthritis,"September 19, 2016",11,Moderate Side Effects,4
15765,Ethinyl estradiol / norethindrone,Birth Control,"September 26, 2016",0,Moderate Side Effects,2
24509,Polyethylene glycol 3350 with electrolytes,Bowel Preparation,"March 17, 2016",42,Moderate Side Effects,5
107693,Implanon,Birth Control,"May 5, 2010",1,Mild Side Effects,3
50635,Gabapentin,Pain,"May 9, 2010",37,Severe Side Effects,5
33395,Microgestin Fe 1 / 20,Birth Control,"October 21, 2015",3,Moderate Side Effects,1
133845,Restasis,Keratoconjunctivitis Sicca,"October 6, 2015",31,Mild Side Effects,1
4554,Belviq,Weight Loss,"March 30, 2016",25,Mild Side Effects,4
214067,Tioconazole,Vaginal Yeast Infection,"April 24, 2016",5,Moderate Side Effects,1
188073,Symbyax,Bipolar Disorde,"December 28, 2008",17,Mild Side Effects,4
118748,Zoloft,Depression,"November 16, 2012",44,Mild Side Effects,1
118795,Zoloft,Obsessive Compulsive Disorde,"March 1, 2012",90,No Side Effects,5
168672,Vilazodone,Major Depressive Disorde,"April 22, 2016",15,No Side Effects,2
24298,Tretinoin,Acne,"October 31, 2008",68,Moderate Side Effects,4
46619,Gleevec,Chronic Myelogenous Leukemia,"September 12, 2014",5,Mild Side Effects,5
186587,Desvenlafaxine,Depression,"December 30, 2009",175,No Side Effects,4
98320,Nexplanon,Birth Control,"March 31, 2015",0,Severe Side Effects,5
156401,Ropinirole,Restless Legs Syndrome,"June 13, 2011",4,Moderate Side Effects,5
195537,Aviane,Birth Control,"October 5, 2015",4,Moderate Side Effects,2
230361,Depo-Provera,Endometriosis,"March 24, 2014",40,No Side Effects,4
106078,Gabapentin,Anxiety,"May 9, 2016",66,Moderate Side Effects,4
104260,Ethinyl estradiol / levonorgestrel,Birth Control,"November 5, 2012",8,Mild Side Effects,4
17953,Ethinyl estradiol / etonogestrel,Birth Control,"December 25, 2012",3,Moderate Side Effects,5
83706,Clomiphene,emale Infertility,"June 16, 2015",171,Mild Side Effects,5
117213,Clotrimazole,Oral Thrush,"January 30, 2016",8,No Side Effects,1
29210,Topiramate,Migraine Prevention,"September 21, 2016",9,Moderate Side Effects,3
145099,Etonogestrel,Birth Control,"November 8, 2015",9,Mild Side Effects,1
96970,Ambien,Insomnia,"November 14, 2015",14,No Side Effects,5
37351,Vyvanse,ADHD,"July 6, 2015",36,No Side Effects,4
164015,Fluorouracil,Actinic Keratosis,"October 18, 2016",10,Mild Side Effects,5
99363,Genvoya,HIV Infection,"September 24, 2017",3,Mild Side Effects,5
72178,Tramadol,Pain,"August 1, 2014",73,Mild Side Effects,5
190911,Tessalon Perles,Cough,"January 4, 2015",63,Extremely Severe Side Effects,5
140329,Asenapine,Bipolar Disorde,"June 24, 2011",11,No Side Effects,5
112356,Gabapentin,Anxiety,"November 24, 2016",40,Mild Side Effects,1
51992,Adipex-P,Weight Loss,"June 3, 2015",37,Moderate Side Effects,4
104100,Ethinyl estradiol / levonorgestrel,Birth Control,"October 2, 2013",5,Mild Side Effects,5
207893,Suprep Bowel Prep Kit,Bowel Preparation,"July 23, 2015",15,Mild Side Effects,4
214843,Prenatal Plus,Vitamin/Mineral Supplementation during Pregnancy/Lactation,"October 4, 2011",19,Extremely Severe Side Effects,5
167823,Keflex,Bacterial Infection,"March 26, 2015",58,Moderate Side Effects,5
22756,Vitamin D2,Vitamin D Deficiency,"October 18, 2009",150,Severe Side Effects,5
17131,Flexeril,Sciatica,"December 24, 2012",101,No Side Effects,5
126217,Viibryd,Depression,"April 20, 2012",70,Mild Side Effects,5
71206,Lysteda,Menstrual Disorders,"July 12, 2013",117,Extremely Severe Side Effects,5
29756,Topiramate,Migraine Prevention,"November 28, 2009",14,Severe Side Effects,2
194346,Omnicef,Otitis Media,"April 13, 2009",11,Extremely Severe Side Effects,1
175354,Augmentin,Skin or Soft Tissue Infection,"September 3, 2017",1,Extremely Severe Side Effects,1
191287,Pentasa,Crohn's Disease,"March 11, 2014",6,Moderate Side Effects,5
70362,Zofran,Nausea/Vomiting,"February 21, 2010",15,No Side Effects,4
103669,Kapidex,GERD,"June 10, 2009",21,Moderate Side Effects,1
219262,Serzone,Depression,"December 17, 2009",59,Mild Side Effects,5
85190,Ethinyl estradiol / norgestimate,Birth Control,"August 31, 2015",10,Mild Side Effects,5
201089,Zoloft,Depression,"January 25, 2017",16,Severe Side Effects,2
20355,Hyoscyamine / methenamine / methylene blue / phenyl salicylate,Urinary Tract Infection,"November 4, 2017",0,Mild Side Effects,1
161518,Diphenhydramine,Insomnia,"February 11, 2009",14,Severe Side Effects,2
34603,Minocycline,Rheumatoid Arthritis,"March 20, 2017",2,No Side Effects,2
187531,Monistat 3-Day Combination Pack,Vaginal Yeast Infection,"March 29, 2016",5,No Side Effects,1
211618,Pitocin,Labor Induction,"August 15, 2014",16,Mild Side Effects,5
130982,Levonorgestrel,Birth Control,"May 7, 2010",470,Moderate Side Effects,1
69918,Pyridostigmine,Myasthenia Gravis,"June 12, 2011",20,Severe Side Effects,4
187562,Naprosyn,Back Pain,"August 28, 2012",30,No Side Effects,5
188119,Elocon,Psoriasis,"October 2, 2008",38,Moderate Side Effects,4
116135,Clindamycin,Skin or Soft Tissue Infection,"January 9, 2017",8,Mild Side Effects,4
134925,Pazopanib,Soft Tissue Sarcoma,"September 26, 2014",61,Severe Side Effects,5
123696,Skyla,Birth Control,"March 7, 2017",2,Mild Side Effects,1
162181,Denosumab,Osteoporosis,"June 27, 2016",157,No Side Effects,1
112931,Bisacodyl,Constipation,"December 16, 2016",0,Moderate Side Effects,5
82840,Paxil,Anxiety,"October 26, 2016",58,No Side Effects,5
114731,Methotrexate,Psoriasis,"May 6, 2014",86,Mild Side Effects,5
26463,Sprintec,Ovarian Cysts,"January 18, 2015",12,Mild Side Effects,2
227344,Etonogestrel,Birth Control,"October 23, 2013",3,Mild Side Effects,1
152480,Ciprofloxacin,Kidney Infections,"November 9, 2010",26,Mild Side Effects,5
130786,Levonorgestrel,Birth Control,"November 7, 2011",0,Severe Side Effects,2
38072,Adipex-P,Weight Loss,"January 23, 2016",11,Moderate Side Effects,1
81626,Liraglutide,Weight Loss,"July 7, 2017",12,Mild Side Effects,5
176057,Buprenex,Pain,"June 16, 2011",15,Severe Side Effects,5
123346,Apri,Birth Control,"May 16, 2013",5,Mild Side Effects,4
107567,Implanon,Birth Control,"November 23, 2010",2,Moderate Side Effects,5
21389,Benzoyl peroxide / erythromycin,Acne,"May 30, 2017",2,Moderate Side Effects,4
154831,Metronidazole,Giardiasis,"May 4, 2017",0,Mild Side Effects,3
145518,Qsymia,Weight Loss,"November 3, 2016",69,Extremely Severe Side Effects,5
28807,Lexapro,Depression,"November 6, 2009",20,Extremely Severe Side Effects,4
92082,Lyrica,ibromyalgia,"February 26, 2013",68,Severe Side Effects,5
94171,Trintellix,Depression,"October 31, 2015",48,Moderate Side Effects,5
155506,Metronidazole,Diverticulitis,"December 12, 2014",30,Mild Side Effects,5
30163,Klonopin,Anxiety,"July 10, 2015",51,Moderate Side Effects,5
204329,BuSpar,Anxiety,"July 24, 2017",21,Mild Side Effects,2
208349,Oseltamivir,Influenza,"February 4, 2016",5,No Side Effects,5
32998,Seasonique,Abnormal Uterine Bleeding,"May 7, 2015",8,Mild Side Effects,1
212684,Niravam,Anxiety,"June 24, 2011",38,No Side Effects,5
187972,Etonogestrel,Birth Control,"October 11, 2017",4,No Side Effects,5
89158,Celexa,Anxiety and Stress,"March 5, 2017",62,No Side Effects,4
187715,Codeine / guaifenesin,Cough,"March 22, 2010",28,No Side Effects,5
224859,Bupropion,Depression,"October 26, 2016",145,No Side Effects,5
30417,Klonopin,Anxiety,"October 30, 2009",84,No Side Effects,5
10478,Spironolactone,Acne,"May 17, 2016",5,Mild Side Effects,5
59972,NuvaRing,Birth Control,"July 17, 2015",9,No Side Effects,1
34908,Minocycline,Acne,"July 5, 2015",15,Mild Side Effects,5
79437,Plan B One-Step,Emergency Contraception,"May 4, 2015",24,Moderate Side Effects,5
9061,Cefuroxime,Sinusitis,"October 15, 2016",31,Mild Side Effects,5
137998,Ortho Evra,Birth Control,"November 16, 2015",1,No Side Effects,4
45774,Fluoxetine,Panic Disorde,"July 19, 2011",3,Mild Side Effects,2
7953,Xanax,Anxiety,"April 27, 2012",32,No Side Effects,5
92592,Ondansetron,Gastroenteritis,"April 26, 2009",66,Severe Side Effects,5
156591,Dulaglutide,"Diabetes, Type 2","May 18, 2017",12,Moderate Side Effects,1
25584,Supartz,Osteoarthritis,"April 4, 2016",20,No Side Effects,2
87535,Naproxen,Period Pain,"October 19, 2015",9,No Side Effects,4
53673,Alesse,Birth Control,"August 18, 2009",15,Severe Side Effects,3
24171,Tretinoin,Acne,"October 6, 2015",16,Moderate Side Effects,5
97320,Ambien,Insomnia,"October 4, 2009",35,Severe Side Effects,3
100825,Orlistat,Obesity,"November 18, 2015",35,Mild Side Effects,5
219535,Microgestin Fe 1.5 / 30,Birth Control,"July 26, 2015",5,Severe Side Effects,5
81176,Yaz,Birth Control,"August 10, 2017",10,Extremely Severe Side Effects,2
105726,Methylprednisolone,Inflammatory Conditions,"August 13, 2014",22,No Side Effects,4
182710,Cymbalta,Osteoarthritis,"July 2, 2017",8,No Side Effects,2
109035,Nexplanon,Birth Control,"May 12, 2017",4,Mild Side Effects,1
116614,Aspirin / carisoprodol,Muscle Pain,"March 11, 2016",0,Mild Side Effects,4
217400,Clarithromycin,Pneumonia,"February 10, 2016",20,Mild Side Effects,5
184770,Canagliflozin,"Diabetes, Type 2","November 11, 2017",0,Mild Side Effects,3
203523,Nasonex,Allergic Rhinitis,"August 29, 2015",4,Severe Side Effects,5
189422,Oxycodone,Pain,"March 11, 2012",27,Mild Side Effects,5
37359,Vyvanse,ADHD,"May 1, 2015",28,No Side Effects,4
33815,Junel Fe 1 / 20,Birth Control,"April 8, 2017",6,Moderate Side Effects,1
