Term	TermFreq >= 1	PosClassDiff (correct-estimate)	NegClassDiff	PosClassAvDiff	NegClassAvDiff	CorrectClass1pos	CorrectClass2pos	CorrectClass3pos	CorrectClass4pos	CorrectClass5pos	CorrectClass1neg	CorrectClass2neg	CorrectClass3neg	CorrectClass4neg	CorrectClass5neg	
cute	15	1	-9	0.06666667	-0.6	1	5	8	1	0	11	3	1	0	0	
love	179	-94	-25	-0.5251397	-0.1396648	25	42	84	22	6	117	48	12	2	0	
!	1375	-646	-75	-0.46981817	-0.054545455	425	343	488	107	12	908	232	201	33	1	
wana	2	1	-1	0.5	-0.5	1	1	0	0	0	1	0	1	0	0	
see	106	-21	13	-0.1981132	0.12264151	46	40	18	2	0	62	36	6	2	0	
vid	1	1	0	1.0	0.0	0	1	0	0	0	1	0	0	0	0	
kyan	1	1	0	1.0	0.0	0	1	0	0	0	1	0	0	0	0	
mom	10	-5	-4	-0.5	-0.4	4	3	3	0	0	5	3	2	0	0	
went	20	-7	-5	-0.35	-0.25	8	8	2	2	0	8	5	7	0	0	
for	586	-93	-16	-0.15870307	-0.027303753	299	183	94	9	1	400	135	48	3	0	
of	684	-171	-41	-0.25	-0.05994152	355	233	83	13	0	439	185	56	4	0	
ray	6	-3	1	-0.5	0.16666667	5	0	1	0	0	4	1	1	0	0	
j	15	-5	2	-0.33333334	0.13333334	9	6	0	0	0	11	2	2	0	0	
or	107	-26	4	-0.24299066	0.037383176	51	46	9	1	0	58	37	11	1	0	
any	30	-6	7	-0.2	0.23333333	15	14	1	0	0	19	6	5	0	0	
reality	1	-2	0	-2.0	0.0	1	0	0	0	0	0	0	1	0	0	
show	44	-18	4	-0.4090909	0.09090909	25	11	6	2	0	30	8	6	0	0	
i'd	22	-8	5	-0.36363637	0.22727273	10	10	1	1	0	7	6	9	0	0	
bee	3	-3	-1	-1.0	-0.33333334	3	0	0	0	0	2	0	1	0	0	
pissed	8	-2	-8	-0.25	-1.0	6	1	1	0	0	1	1	6	0	0	
ok	40	2	8	0.05	0.2	15	20	5	0	0	20	12	5	1	2	
just	301	-67	18	-0.22259136	0.059800666	148	109	34	8	2	177	88	34	2	0	
got	142	-50	26	-0.35211268	0.18309858	64	52	24	2	0	81	45	13	3	0	
deal	8	4	-1	0.5	-0.125	5	2	0	1	0	5	2	1	0	0	
own	28	-7	1	-0.25	0.035714287	16	7	5	0	0	14	12	2	0	0	
deez	2	0	0	0.0	0.0	2	0	0	0	0	2	0	0	0	0	
nuts	3	0	-2	0.0	-0.6666667	3	0	0	0	0	3	0	0	0	0	
go	150	-16	3	-0.10666667	0.02	80	41	25	4	0	79	52	18	1	0	
vh1	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
deeznuts	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
apply	3	0	1	0.0	0.33333334	3	0	0	0	0	2	1	0	0	0	
u	208	-70	5	-0.33653846	0.024038462	90	79	32	6	1	102	79	25	2	0	
here	80	-30	13	-0.375	0.1625	40	28	11	1	0	54	18	7	1	0	
@mrhilton1985	1	1	0	1.0	0.0	0	0	1	0	0	1	0	0	0	0	
welcome	16	-9	-2	-0.5625	-0.125	6	1	8	1	0	14	1	1	0	0	
twitter	84	-5	10	-0.05952381	0.11904762	47	22	14	1	0	55	22	7	0	0	
x	38	-4	-1	-0.10526316	-0.02631579	4	12	19	2	1	29	7	2	0	0	
@kjbmusic	1	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	0	
oh	74	-24	12	-0.3243243	0.16216215	36	25	8	4	1	28	25	18	3	0	
yeah	40	2	-13	0.05	-0.325	9	19	11	1	0	28	6	6	0	0	
however	2	0	1	0.0	0.5	1	1	0	0	0	1	1	0	0	0	
,	1467	-353	-51	-0.24062712	-0.034764826	780	470	190	24	3	876	430	146	15	0	
still	73	-21	15	-0.28767124	0.20547946	35	29	9	0	0	27	34	12	0	0	
like	232	-127	27	-0.54741377	0.11637931	103	95	30	4	0	113	81	33	5	0	
midst	1	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	0	
all	199	-45	4	-0.22613065	0.020100502	88	64	34	11	2	118	53	26	2	0	
though	22	-1	0	-0.045454547	0.0	1	16	5	0	0	6	11	5	0	0	
can't	59	-17	7	-0.2881356	0.118644066	30	15	12	2	0	18	33	8	0	0	
say	80	-25	5	-0.3125	0.0625	41	22	12	5	0	33	34	13	0	0	
facebook	29	-12	6	-0.41379312	0.20689656	23	6	0	0	0	22	5	2	0	0	
layout	2	0	1	0.0	0.5	0	2	0	0	0	0	2	0	0	0	
but	243	-64	43	-0.26337448	0.17695473	98	106	35	4	0	59	143	40	1	0	
posted	16	0	1	0.0	0.0625	12	4	0	0	0	12	3	1	0	0	
pics	10	-1	1	-0.1	0.1	5	3	2	0	0	8	2	0	0	0	
from	164	-17	-17	-0.103658535	-0.103658535	86	60	15	2	1	107	44	13	0	0	
super	12	-12	1	-1.0	0.083333336	7	2	2	0	1	6	2	4	0	0	
bowl	1	0	1	0.0	1.0	0	1	0	0	0	0	1	0	0	0	
week	41	-3	-4	-0.07317073	-0.09756097	19	13	8	1	0	29	9	3	0	0	
=)	11	3	3	0.27272728	0.27272728	0	6	4	1	0	9	1	1	0	0	
need	97	-27	34	-0.2783505	0.35051546	42	39	12	4	0	43	34	17	3	0	
nice	36	-12	5	-0.33333334	0.1388889	2	21	12	1	0	24	9	2	1	0	
tea	11	3	-1	0.27272728	-0.09090909	4	5	2	0	0	7	2	2	0	0	
drinking	3	0	2	0.0	0.6666667	2	1	0	0	0	2	0	1	0	0	
pic	14	-2	3	-0.14285715	0.21428572	5	6	2	1	0	8	6	0	0	0	
our	63	-22	-5	-0.34920636	-0.07936508	23	21	18	1	0	46	11	4	2	0	
#	750	-228	-14	-0.304	-0.018666666	513	164	65	8	0	567	134	36	12	1	
club	17	-13	-2	-0.7647059	-0.11764706	9	6	2	0	0	12	5	0	0	0	
membership	1	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	0	
page	18	-1	4	-0.055555556	0.22222222	9	8	1	0	0	11	4	3	0	0	
anyone	21	-8	3	-0.3809524	0.14285715	9	8	4	0	0	10	6	3	2	0	
one	163	-48	20	-0.29447854	0.12269939	72	68	22	1	0	96	53	14	0	0	
they'd	2	0	0	0.0	0.0	1	1	0	0	0	1	1	0	0	0	
happy	57	-11	4	-0.19298245	0.07017544	4	24	25	3	1	43	11	3	0	0	
me	521	-120	29	-0.2303263	0.05566219	257	167	85	11	1	275	167	71	8	0	
use	23	4	3	0.17391305	0.13043478	12	8	2	1	0	15	8	0	0	0	
bit	644	-148	-79	-0.22981367	-0.12267081	487	126	29	2	0	570	67	6	1	0	
ly	685	-159	-89	-0.23211679	-0.12992701	525	129	27	4	0	612	66	6	1	0	
b1pwlh	1	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	0	
@jonathanrknight	2	1	0	0.5	0.0	0	0	1	1	0	2	0	0	0	0	
twitpic	77	-13	-8	-0.16883117	-0.103896104	49	13	13	1	1	67	8	2	0	0	
lol	224	-53	36	-0.23660715	0.16071428	15	159	46	4	0	102	88	33	1	0	
home	67	-18	10	-0.26865673	0.14925373	40	17	9	1	0	45	8	13	1	0	
depot	2	1	1	0.5	0.5	0	0	2	0	0	1	1	0	0	0	
working	27	-10	4	-0.37037036	0.14814815	12	11	4	0	0	16	8	2	1	0	
w	174	-50	-9	-0.28735632	-0.05172414	126	32	15	1	0	144	23	6	1	0	
hands	10	-5	-9	-0.5	-0.9	4	5	1	0	0	8	1	0	1	0	
building	8	-3	1	-0.375	0.125	6	1	1	0	0	7	1	0	0	0	
things	38	-14	7	-0.36842105	0.18421052	24	11	3	0	0	21	14	2	1	0	
dad	15	-8	-2	-0.53333336	-0.13333334	5	7	2	1	0	6	6	2	1	0	
was	221	-53	-10	-0.239819	-0.04524887	105	70	41	4	1	95	90	35	1	0	
construction	1	0	0	0.0	0.0	0	0	1	0	0	1	0	0	0	0	
@barcough	1	0	1	0.0	1.0	1	0	0	0	0	0	0	1	0	0	
it's	117	-34	0	-0.2905983	0.0	48	45	20	4	0	52	48	15	2	0	
enough	14	-2	4	-0.14285715	0.2857143	8	5	1	0	0	4	7	3	0	0	
make	104	-12	18	-0.115384616	0.17307693	49	36	18	1	0	54	33	16	1	0	
sick	11	0	3	0.0	0.27272728	7	3	1	0	0	1	3	6	1	0	
eh	10	-2	2	-0.2	0.2	9	1	0	0	0	7	2	1	0	0	
there's	14	-6	1	-0.42857143	0.071428575	11	1	2	0	0	3	5	6	0	0	
nothing	20	-5	1	-0.25	0.05	8	10	2	0	0	9	7	4	0	0	
sacred	2	1	-1	0.5	-0.5	1	0	1	0	0	1	0	1	0	0	
anymore	8	-3	0	-0.375	0.0	3	3	2	0	0	1	6	1	0	0	
hacienda	2	-2	1	-1.0	0.5	1	0	1	0	0	1	1	0	0	0	
now	184	-43	17	-0.23369566	0.092391305	96	59	25	3	1	110	48	22	4	0	
level	9	2	3	0.22222222	0.33333334	4	4	1	0	0	6	3	0	0	0	
80	3	0	1	0.0	0.33333334	1	1	1	0	0	0	3	0	0	0	
time	128	-25	17	-0.1953125	0.1328125	52	45	26	5	0	68	49	8	3	0	
get	225	-26	9	-0.115555555	0.04	116	76	28	3	2	131	62	30	2	0	
epic	3	3	0	1.0	0.0	0	1	1	1	0	2	1	0	0	0	
gear	4	1	2	0.25	0.5	2	1	1	0	0	1	3	0	0	0	
her	80	-25	-5	-0.3125	-0.0625	27	35	13	5	0	37	34	8	1	0	
maybe	26	-5	1	-0.1923077	0.03846154	10	12	4	0	0	14	12	0	0	0	
some	99	-18	1	-0.18181819	0.01010101	43	40	16	0	0	54	36	8	1	0	
sleep	45	-6	14	-0.13333334	0.31111112	21	19	4	1	0	8	23	14	0	0	
would	74	-8	26	-0.10810811	0.35135135	27	23	22	2	0	38	24	10	2	0	
good	138	-45	-9	-0.32608697	-0.06521739	22	69	42	4	1	82	45	11	0	0	
dj	10	-6	-1	-0.6	-0.1	7	3	0	0	0	8	0	2	0	0	
k	11	-3	4	-0.27272728	0.36363637	7	4	0	0	0	7	2	2	0	0	
city	17	-1	0	-0.05882353	0.0	9	7	1	0	0	14	2	1	0	0	
presents	3	1	2	0.33333334	0.6666667	2	1	0	0	0	2	0	1	0	0	
crank	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
america	7	0	2	0.0	0.2857143	5	1	1	0	0	4	1	2	0	0	
mixtape	8	-3	0	-0.375	0.0	7	0	1	0	0	8	0	0	0	0	
wanna	37	1	7	0.027027028	0.1891892	17	12	7	1	0	18	11	7	1	0	
dm	8	1	2	0.125	0.25	4	0	4	0	0	5	2	1	0	0	
10tti2	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
pls	10	-1	3	-0.1	0.3	6	2	2	0	0	7	1	2	0	0	
iran	4	0	0	0.0	0.0	2	2	0	0	0	3	0	1	0	0	
with	326	-47	-26	-0.14417177	-0.0797546	168	107	48	1	2	212	79	32	3	0	
its	105	-34	-6	-0.32380953	-0.057142857	53	38	13	1	0	45	49	9	2	0	
unity	1	-2	0	-2.0	0.0	1	0	0	0	0	0	0	1	0	0	
god's	1	-2	0	-2.0	0.0	1	0	0	0	0	0	0	1	0	0	
grace	1	-2	0	-2.0	0.0	1	0	0	0	0	0	0	1	0	0	
punch	3	-3	-1	-1.0	-0.33333334	2	1	0	0	0	0	2	1	0	0	
arrogance	2	-4	-1	-2.0	-0.5	2	0	0	0	0	0	1	1	0	0	
(	289	-60	-31	-0.20761245	-0.10726643	203	64	18	4	0	221	56	11	1	0	
west	4	-3	1	-0.75	0.25	3	0	1	0	0	2	1	1	0	0	
)	257	-57	-21	-0.22178988	-0.08171206	179	57	17	4	0	196	50	10	1	0	
22nd	1	-2	0	-2.0	0.0	1	0	0	0	0	0	0	1	0	0	
bahman	1	-2	0	-2.0	0.0	1	0	0	0	0	0	0	1	0	0	
feb	5	-4	0	-0.8	0.0	5	0	0	0	0	4	0	1	0	0	
11	15	0	-1	0.0	-0.06666667	10	3	2	0	0	11	3	1	0	0	
way	73	-22	-6	-0.30136988	-0.08219178	39	25	7	2	0	38	27	8	0	0	
that	419	-87	2	-0.20763724	0.00477327	187	161	61	8	2	206	151	57	5	0	
leave	15	-3	7	-0.2	0.46666667	11	1	3	0	0	5	7	3	0	0	
them	76	-32	4	-0.42105263	0.05263158	36	29	10	1	0	31	34	11	0	0	
stunned	1	-2	0	-2.0	0.0	1	0	0	0	0	0	0	1	0	0	
@tiffystarz	1	1	0	1.0	0.0	0	0	0	1	0	0	0	1	0	0	
wtf	10	-5	-2	-0.5	-0.2	8	1	0	1	0	0	1	8	1	0	
where	42	-10	-2	-0.23809524	-0.04761905	22	14	5	1	0	29	6	3	4	0	
come	66	-16	1	-0.24242425	0.015151516	29	21	15	1	0	39	13	13	1	0	
none	2	1	1	0.5	0.5	1	0	0	1	0	0	1	1	0	0	
likes	4	-2	-2	-0.5	-0.5	1	1	1	1	0	2	1	1	0	0	
metal	5	2	-1	0.4	-0.2	2	0	0	3	0	1	1	3	0	0	
hardcore	3	0	0	0.0	0.0	2	0	0	1	0	1	1	1	0	0	
5	39	-1	-2	-0.025641026	-0.051282052	25	8	5	1	0	33	4	2	0	0	
mates	3	-3	-1	-1.0	-0.33333334	0	2	0	1	0	2	0	1	0	0	
max	5	2	1	0.4	0.2	2	0	2	1	0	3	1	1	0	0	
are	262	-72	6	-0.27480915	0.022900764	128	90	35	7	2	159	73	25	4	1	
fully	1	1	0	1.0	0.0	0	0	0	1	0	0	0	1	0	0	
into	42	-17	1	-0.4047619	0.023809524	29	7	5	1	0	26	13	3	0	0	
sucks	7	-1	-1	-0.14285715	-0.14285715	2	3	1	1	0	0	3	4	0	0	
l	13	3	-4	0.23076923	-0.30769232	7	4	1	1	0	8	3	2	0	0	
moneyhackers	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
org	10	0	0	0.0	0.0	6	3	1	0	0	10	0	0	0	0	
reasons	7	-2	2	-0.2857143	0.2857143	3	3	1	0	0	5	2	0	0	0	
why	94	-31	25	-0.32978722	0.26595744	65	23	6	0	0	37	47	5	5	0	
entrepreneurs	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
venture	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
nursing	4	1	-4	0.25	-1.0	3	1	0	0	0	4	0	0	0	0	
agencies	2	0	0	0.0	0.0	2	0	0	0	0	2	0	0	0	0	
|	61	-4	1	-0.06557377	0.016393442	53	6	2	0	0	56	3	2	0	0	
best	73	-23	0	-0.31506848	0.0	24	34	11	4	0	51	18	4	0	0	
entrepreneur	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
bvgzls	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
4wordsonobamashand	1	0	1	0.0	1.0	1	0	0	0	0	0	1	0	0	0	
don't	108	-18	39	-0.16666667	0.3611111	57	39	11	1	0	18	75	14	1	0	
n	56	-22	5	-0.39285713	0.08928572	32	20	4	0	0	25	22	8	1	0	
word	19	-5	2	-0.2631579	0.10526316	12	4	2	0	1	9	6	4	0	0	
watchdog	1	0	1	0.0	1.0	1	0	0	0	0	0	0	1	0	0	
chaos	1	0	1	0.0	1.0	1	0	0	0	0	0	0	1	0	0	
as	131	-21	-2	-0.16030534	-0.015267176	76	38	14	2	1	77	42	11	1	0	
chief	4	0	1	0.0	0.25	4	0	0	0	0	1	2	1	0	0	
executive	2	0	1	0.0	0.5	2	0	0	0	0	1	0	1	0	0	
hector	1	0	1	0.0	1.0	1	0	0	0	0	0	0	1	0	0	
sants	1	0	1	0.0	1.0	1	0	0	0	0	0	0	1	0	0	
resigns	1	0	1	0.0	1.0	1	0	0	0	0	0	0	1	0	0	
months	5	-2	4	-0.4	0.8	3	1	1	0	0	2	0	3	0	0	
before	30	-10	0	-0.33333334	0.0	15	12	3	0	0	15	10	5	0	0	
general	6	-3	2	-0.5	0.33333334	5	1	0	0	0	2	2	2	0	0	
election	2	-1	2	-0.5	1.0	2	0	0	0	0	0	1	1	0	0	
@mangauk	1	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	0	
god	24	-3	-1	-0.125	-0.041666668	14	5	4	0	1	13	6	5	0	0	
big	51	-2	-4	-0.039215688	-0.078431375	22	17	12	0	0	34	11	6	0	0	
news	46	-6	-16	-0.13043478	-0.3478261	30	14	2	0	0	34	11	1	0	0	
day	138	-19	16	-0.13768116	0.11594203	35	54	43	6	0	86	43	7	2	0	
today	113	-23	-4	-0.20353982	-0.03539823	49	36	24	4	0	76	28	8	1	0	
by	136	-28	-15	-0.20588236	-0.11029412	80	39	12	5	0	107	23	6	0	0	
popular	4	-1	0	-0.25	0.0	2	2	0	0	0	4	0	0	0	0	
demand	3	-2	0	-0.6666667	0.0	1	2	0	0	0	3	0	0	0	0	
ah	23	-9	4	-0.39130434	0.17391305	11	8	4	0	0	9	10	4	0	0	
goddess	1	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	0	
season	15	-6	0	-0.4	0.0	6	6	3	0	0	11	1	3	0	0	
2	135	-48	-4	-0.35555556	-0.02962963	78	44	8	5	0	80	36	16	3	0	
released	6	0	-2	0.0	-0.33333334	4	2	0	0	0	5	1	0	0	0	
3	75	-18	-3	-0.24	-0.04	43	21	10	1	0	58	12	5	0	0	
disc	3	0	0	0.0	0.0	2	1	0	0	0	3	0	0	0	0	
sets	2	0	0	0.0	0.0	1	1	0	0	0	2	0	0	0	0	
may	30	-6	-1	-0.2	-0.033333335	12	16	2	0	0	18	11	1	0	0	
jul	1	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	0	
sep	1	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	0	
wow	25	-39	4	-1.56	0.16	10	12	2	1	0	15	5	3	2	0	
sis	6	-3	-1	-0.5	-0.16666667	3	2	1	0	0	4	2	0	0	0	
said	57	-22	15	-0.3859649	0.2631579	29	19	9	0	0	20	29	8	0	0	
she	61	-19	3	-0.3114754	0.04918033	22	29	8	2	0	29	22	10	0	0	
gona	1	-1	-1	-1.0	-1.0	0	1	0	0	0	0	1	0	0	0	
tramp	2	-1	-3	-0.5	-1.5	0	2	0	0	0	1	1	0	0	0	
stamp	2	-1	-2	-0.5	-1.0	1	1	0	0	0	1	1	0	0	0	
tat	6	-2	0	-0.33333334	0.0	1	3	2	0	0	3	3	0	0	0	
told	31	-11	-2	-0.3548387	-0.06451613	13	15	2	0	1	10	16	5	0	0	
late	11	-6	0	-0.54545456	0.0	7	3	0	1	0	4	5	2	0	0	
ha	15	-10	1	-0.6666667	0.06666667	6	7	2	0	0	6	7	2	0	0	
evil	2	-1	-4	-0.5	-2.0	0	2	0	0	0	1	1	0	0	0	
laugh	9	-2	-1	-0.22222222	-0.11111111	0	9	0	0	0	2	6	1	0	0	
@russmarshalek	1	0	0	0.0	0.0	0	0	1	0	0	0	1	0	0	0	
sold	2	0	0	0.0	0.0	0	0	2	0	0	1	1	0	0	0	
your	232	-74	-15	-0.31896552	-0.06465517	106	90	29	7	0	156	62	12	2	0	
crazyass	1	0	0	0.0	0.0	0	0	1	0	0	0	1	0	0	0	
how	145	-41	-10	-0.28275862	-0.06896552	85	40	16	4	0	86	42	15	2	0	
could	43	-5	4	-0.11627907	0.093023255	19	15	8	1	0	17	18	8	0	0	
no	131	-34	7	-0.259542	0.053435113	64	48	17	2	0	51	60	20	0	0	
cannot	8	-1	3	-0.125	0.375	3	3	1	1	0	1	6	1	0	0	
believe	27	-3	0	-0.11111111	0.0	13	9	3	2	0	14	11	2	0	0	
broke	8	1	-1	0.125	-0.125	5	2	1	0	0	1	4	3	0	0	
minimally	1	0	0	0.0	0.0	0	0	1	0	0	0	1	0	0	0	
battered	1	0	0	0.0	0.0	0	0	1	0	0	0	1	0	0	0	
toe	2	0	2	0.0	1.0	1	0	1	0	0	0	1	1	0	0	
@zramesses	1	-1	0	-1.0	0.0	0	1	0	0	0	1	0	0	0	0	
yes	45	-7	3	-0.15555556	0.06666667	17	12	13	3	0	27	16	2	0	0	
;	73	-4	7	-0.05479452	0.09589041	33	26	9	5	0	44	19	10	0	0	
hope	54	-57	2	-1.0555556	0.037037037	5	30	17	2	0	35	11	8	0	0	
release	8	-2	-3	-0.25	-0.375	5	3	0	0	0	7	1	0	0	0	
feature	14	-2	-1	-0.14285715	-0.071428575	11	1	2	0	0	14	0	0	0	0	
next	32	-9	-1	-0.28125	-0.03125	20	10	2	0	0	20	11	1	0	0	
month	10	-2	-4	-0.2	-0.4	8	2	0	0	0	8	2	0	0	0	
phil	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
collins	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
hurry	7	-7	0	-1.0	0.0	7	0	0	0	0	5	1	1	0	0	
money	36	-5	-1	-0.1388889	-0.027777778	20	11	3	2	0	24	8	4	0	0	
car	25	-10	1	-0.4	0.04	16	9	0	0	0	13	8	4	0	0	
jesus	9	-4	1	-0.44444445	0.11111111	4	3	2	0	0	5	0	4	0	0	
somebody	11	-1	4	-0.09090909	0.36363637	5	5	1	0	0	4	2	5	0	0	
please	53	-27	3	-0.509434	0.056603774	21	16	13	3	0	38	14	1	0	0	
buy	28	4	-5	0.14285715	-0.17857143	11	13	3	1	0	20	4	4	0	0	
old	28	-9	6	-0.32142857	0.21428572	13	10	5	0	0	15	9	4	0	0	
dd	1	0	2	0.0	2.0	0	1	0	0	0	0	0	1	0	0	
ny	4	-1	1	-0.25	0.25	2	1	1	0	0	3	0	1	0	0	
wif	1	0	1	0.0	1.0	0	1	0	0	0	0	0	1	0	0	
@djwallah	1	0	1	0.0	1.0	0	1	0	0	0	0	0	1	0	0	
heavy	4	-1	3	-0.25	0.75	1	3	0	0	0	1	2	1	0	0	
hitter	1	0	1	0.0	1.0	0	1	0	0	0	0	0	1	0	0	
crew	5	1	2	0.2	0.4	0	4	1	0	0	3	1	1	0	0	
shout	8	-4	-1	-0.5	-0.125	2	6	0	0	0	7	0	1	0	0	
@freddyph	1	0	1	0.0	1.0	0	1	0	0	0	0	0	1	0	0	
looking	37	-2	3	-0.054054055	0.08108108	15	16	5	1	0	24	9	4	0	0	
real	37	-10	-4	-0.27027026	-0.10810811	19	15	2	1	0	22	10	5	0	0	
gay	20	-2	-11	-0.1	-0.55	11	7	2	0	0	10	7	3	0	0	
