EASE
|   ID | CITATION                                                                                                                                                                                                                                                                                                                                                                                                                                       |
|   10 | Marian Daun, Andrea Salmon, Thorsten Weyer, and Klaus Pohl. 2015. The impact of students' skills and experiences on empirical results: a controlled experiment with undergraduate and graduate students. In Proceedings of the 19th International Conference on Evaluation and Assessment in Software Engineering (EASE '15). Association for Computing Machinery, New York, NY, USA, Article 29, 1–6. https://doi.org/10.1145/2745802.2745829 |
|   11 | Boyce Sigweni and Martin Shepperd. 2015. Using blind analysis for software engineering experiments. In Proceedings of the 19th International Conference on Evaluation and Assessment in Software Engineering (EASE '15). Association for Computing Machinery, New York, NY, USA, Article 32, 1–6. https://doi.org/10.1145/2745802.2745832                                                                                                      |
--------------------
EMSE
|   ID | CITATION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
|-----:|:----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|    1 | Martin P. Robillard and Yam B. Chhetri. 2015. Recommending reference API documentation. Empirical Softw. Engg. 20, 6 (December  2015), 1558–1586. https://doi.org/10.1007/s10664-014-9323-y                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
|    2 | Giuseppe Scanniello, Andrian Marcus, and Daniele Pascale. 2015. Link analysis algorithms for static concept location: an empirical assessment. Empirical Softw. Engg. 20, 6 (December  2015), 1666–1720. https://doi.org/10.1007/s10664-014-9327-7                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
|    3 | Jason Mczara, Shahryar Sarkani, Thomas Holzer, and Timothy Eveleigh. 2015. Software requirements prioritization and selection using linguistic tools and constraint solvers--a controlled experiment. Empirical Softw. Engg. 20, 6 (December  2015), 1721–1761. https://doi.org/10.1007/s10664-014-9334-8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
|    4 | Maria Kechagia, Dimitris Mitropoulos, and Diomidis Spinellis. 2015. Charting the API minefield using software telemetry data. Empirical Softw. Engg. 20, 6 (December  2015), 1785–1830. https://doi.org/10.1007/s10664-014-9343-7                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|    5 | Elder Macedo Rodrigues, Flávio Moreira De Oliveira, Leandro Teodoro Costa, Maicon Bernardino, Avelino Francisco Zorzo, Simone Rocio Senger Souza, and Rodrigo Saad. 2015. An empirical comparison of model-based and capture and replay approaches for performance testing. Empirical Softw. Engg. 20, 6 (December  2015), 1831–1860. https://doi.org/10.1007/s10664-014-9337-5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
|    6 | The systematic review (SR) is a methodology used to find and aggregate all relevant existing evidence about a specific research question of interest. One of the activities associated with the SR process is the selection of primary studies, which is a time consuming manual task. The quality of primary study selection impacts the overall quality of SR. The goal of this paper is to propose a strategy named "Score Citation Automatic Selection" (SCAS), to automate part of the primary study selection activity. The SCAS strategy combines two different features, content and citation relationships between the studies, to make the selection activity as automated as possible. Aiming to evaluate the feasibility of our strategy, we conducted an exploratory case study to compare the accuracy of selecting primary studies manually and using the SCAS strategy. The case study shows that for three SRs published in the literature and previously conducted in a manual implementation, the average effort reduction was 58.2 % when applying the SCAS strategy to automate part of the initial selection of primary studies, and the percentage error was 12.98 %. Our case study provided confidence in our strategy, and suggested that it can reduce the effort required to select the primary studies without adversely affecting the overall results of SR.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
|    7 | Bogdan Dit, Evan Moritz, Mario Linares-Vásquez, Denys Poshyvanyk, and Jane Cleland-Huang. 2015. Supporting and accelerating reproducible empirical research in software evolution and maintenance using TraceLab Component Library. Empirical Softw. Engg. 20, 5 (October   2015), 1198–1236. https://doi.org/10.1007/s10664-014-9339-3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|    8 | Debugging is a crucial yet expensive activity to improve the reliability of software systems. To reduce debugging cost, various fault localization tools have been proposed. A spectrum-based fault localization tool often outputs an ordered list of program elements sorted based on their likelihood to be the root cause of a set of failures (i.e., their suspiciousness scores). Despite the many studies on fault localization, unfortunately, however, for many bugs, the root causes are often low in the ordered list. This potentially causes developers to distrust fault localization tools. Recently, Parnin and Orso highlight in their user study that many debuggers do not find fault localization useful if they do not find the root cause early in the list. To alleviate the above issue, we build an oracle that could predict whether the output of a fault localization tool can be trusted or not. If the output is not likely to be trusted, developers do not need to spend time going through the list of most suspicious program elements one by one. Rather, other conventional means of debugging could be performed. To construct the oracle, we extract the values of a number of features that are potentially related to the effectiveness of fault localization. Building upon advances in machine learning, we process these feature values to learn a discriminative model that is able to predict the effectiveness of a fault localization tool output. In this work, we consider an output of a fault localization tool to be effective if the root cause appears in the top 10 most suspicious program elements. We have evaluated our proposed oracle on 200 faulty versions of Space, NanoXML, XML-Security, and the 7 programs in Siemens test suite. Our experiments demonstrate that we could predict the effectiveness of 9 fault localization tools with a precision, recall, and F-measure (harmonic mean of precision and recall) of up to 74.38 %, 90.00 % and 81.45 %, respectively. The numbers indicate that many ineffective fault localization instances are identified correctly, while only few effective ones are identified wrongly. |
|    9 | Yuan Tian, David Lo, Xin Xia, and Chengnian Sun. 2015. Automated prediction of bug report priority using multi-factor analysis. Empirical Softw. Engg. 20, 5 (October   2015), 1354–1383. https://doi.org/10.1007/s10664-014-9331-y                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
|   10 | Barbara Russo, Giancarlo Succi, and Witold Pedrycz. 2015. Mining system logs to learn error predictors: a case study of a telemetry system. Empirical Softw. Engg. 20, 4 (August    2015), 879–927. https://doi.org/10.1007/s10664-014-9303-2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
|   11 | Kai Petersen, Cigdem Gencel, Negin Asghari, and Stefanie Betz. 2015. An elicitation instrument for operationalising GQM+Strategies (GQM+S-EI). Empirical Softw. Engg. 20, 4 (August    2015), 968–1005. https://doi.org/10.1007/s10664-014-9306-z                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|   12 | Jiachen Yang, Keisuke Hotta, Yoshiki Higo, Hiroshi Igaki, and Shinji Kusumoto. 2015. Classification model for code clones based on machine learning. Empirical Softw. Engg. 20, 4 (August    2015), 1095–1125. https://doi.org/10.1007/s10664-014-9316-x                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
|   13 | José Sagrado, Isabel M. Águila, and Francisco J. Orellana. 2015. Multi-objective ant colony optimization for requirements selection. Empirical Softw. Engg. 20, 3 (June      2015), 577–610. https://doi.org/10.1007/s10664-013-9287-3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
|   14 | Gordon Fraser and Andrea Arcuri. 2015. 1600 faults in 100 projects: automatically finding faults while achieving high coverage with EvoSuite. Empirical Softw. Engg. 20, 3 (June      2015), 611–639. https://doi.org/10.1007/s10664-013-9288-2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
|   15 | Gordon Fraser and Andrea Arcuri. 2015. Achieving scalable mutation-based generation of whole test suites. Empirical Softw. Engg. 20, 3 (June      2015), 783–812.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|   16 | Ekrem Kocaguneli, Tim Menzies, and Emilia Mendes. 2015. Transfer learning in effort estimation. Empirical Softw. Engg. 20, 3 (June      2015), 813–843. https://doi.org/10.1007/s10664-014-9300-5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|   17 | Abram Hindle. 2015. Green mining: a methodology of relating software change and configuration to power consumption. Empirical Softw. Engg. 20, 2 (April     2015), 374–409. https://doi.org/10.1007/s10664-013-9276-6                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
|   18 | Patrick Mäder and Alexander Egyed. 2015. Do developers benefit from requirements traceability when evolving and maintaining a software system? Empirical Softw. Engg. 20, 2 (April     2015), 413–441. https://doi.org/10.1007/s10664-014-9314-z                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
|   19 | Rafael Lotufo, Zeeshan Malik, and Krzysztof Czarnecki. 2015. Modelling the `hurried' bug report reading process to summarize bug reports. Empirical Softw. Engg. 20, 2 (April     2015), 516–548. https://doi.org/10.1007/s10664-014-9311-2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
|   20 | Felienne Hermans, Martin Pinzger, and Arie Deursen. 2015. Detecting and refactoring code smells in spreadsheet formulas. Empirical Softw. Engg. 20, 2 (April     2015), 549–575. https://doi.org/10.1007/s10664-013-9296-2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
|   21 | Weiyi Shang, Meiyappan Nagappan, and Ahmed E. Hassan. 2015. Studying the relationship between logging characteristics and the code quality of platform software. Empirical Softw. Engg. 20, 1 (Feb 2015), 1–27. https://doi.org/10.1007/s10664-013-9274-8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
|   22 | Gregor Polančič, Gregor Jošt, and Marjan Heričko. 2015. An experimental investigation comparing individual and collaborative work productivity when using desktop and cloud modeling tools. Empirical Softw. Engg. 20, 1 (Feb 2015), 142–175. https://doi.org/10.1007/s10664-013-9280-x                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|   23 | Matias Martinez and Martin Monperrus. 2015. Mining software repair models for reasoning on the search space of automated program fixing. Empirical Softw. Engg. 20, 1 (Feb 2015), 176–205. https://doi.org/10.1007/s10664-013-9282-8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|   24 | Nicolas Bettenburg, Ahmed E. Hassan, Bram Adams, and Daniel M. German. 2015. Management of community contributions: A case study on the Android and Linux software ecosystems. Empirical Softw. Engg. 20, 1 (Feb 2015), 252–289. https://doi.org/10.1007/s10664-013-9284-6                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
--------------------
ESEM
|   ID | CITATION                                                                                                                                                                                                                                                                                                                                                                                                                     |
|-----:|:-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|    1 | Timo Nummenmaa, Heikki Tyni, Annakaisa Kultima, Kati Alha, and Jussi Holopainen. 2015. Need to touch, wonder of discovery, and social capital: experiences with interactive playful seats. In Proceedings of the 12th International Conference on Advances in Computer Entertainment Technology (ACE '15). Association for Computing Machinery, New York, NY, USA, Article 10, 1–12. https://doi.org/10.1145/2832932.2832959 |
|    2 | Pedro Centieiro, Teresa Romão, and A. Eduardo Dias. 2015. Emotion sharing during live sports broadcasts: studying its potential and the users' preferences. In Proceedings of the 12th International Conference on Advances in Computer Entertainment Technology (ACE '15). Association for Computing Machinery, New York, NY, USA, Article 22, 1–4. https://doi.org/10.1145/2832932.2832986                                 |
|    3 | Courgeon Matthieu and Duhaut Dominique. 2015. Artificial companions as personal coach for children: the interactive drums teacher. In Proceedings of the 12th International Conference on Advances in Computer Entertainment Technology (ACE '15). Association for Computing Machinery, New York, NY, USA, Article 16, 1–4. https://doi.org/10.1145/2832932.2832981                                                          |
|    4 | Satu Jumisko-Pyykkö, Panos Markopoulos, and Miska M. Hannuksela. 2015. Who is moving - user or device? experienced quality of mobile 3d video in vehicles. In Proceedings of the 12th International Conference on Advances in Computer Entertainment Technology (ACE '15). Association for Computing Machinery, New York, NY, USA, Article 13, 1–11. https://doi.org/10.1145/2832932.2832948                                 |
|    5 | Olivia Johnston-Wilder, Clara Mancini, Brendan Aengenheister, Joe Mills, Rob Harris, and Claire Guest. 2015. Sensing the shape of canine responses to cancer. In Proceedings of the 12th International Conference on Advances in Computer Entertainment Technology (ACE '15). Association for Computing Machinery, New York, NY, USA, Article 63, 1–4. https://doi.org/10.1145/2832932.2837017                               |
|    6 | Olivia Petit, Carlos Velasco, Adrian David Cheok, and Charles Spence. 2015. Consumer sensory neuroscience in the context of food marketing. In Proceedings of the 12th International Conference on Advances in Computer Entertainment Technology (ACE '15). Association for Computing Machinery, New York, NY, USA, Article 49, 1–4. https://doi.org/10.1145/2832932.2856226                                                 |
|    7 | Joaquim Dantas, Cristina Sylla, Pedro Branco, Vítor Carvalho, and Eva Oliveira. 2015. T-stories: improving and expanding t-words. In Proceedings of the 12th International Conference on Advances in Computer Entertainment Technology (ACE '15). Association for Computing Machinery, New York, NY, USA, Article 38, 1–5. https://doi.org/10.1145/2832932.2832940                                                           |
|    8 | Fernando Garcia-Sanjuan, Javier Jaen, Vicente Nacher, and Alejandro Catala. 2015. Design and evaluation of a tangible-mediated robot for kindergarten instruction. In Proceedings of the 12th International Conference on Advances in Computer Entertainment Technology (ACE '15). Association for Computing Machinery, New York, NY, USA, Article 3, 1–11. https://doi.org/10.1145/2832932.2832952                          |
